mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
17.215,0.532,2.006,0.377,2.338,0.358,5.079,12.974,0.0
16.732,0.538,2.077,0.351,2.393,0.368,5.19,13.166,0.0
16.806,0.535,2.125,0.368,2.384,0.365,5.242,14.378,0.0
16.703,0.535,2.051,0.361,2.313,0.372,5.097,13.808,0.0
16.666,0.537,2.139,0.368,2.337,0.371,5.214,12.098,0.0
16.263,0.536,2.063,0.358,2.42,0.37,5.211,12.371,0.0
15.673,0.545,2.0,0.344,2.329,0.36,5.033,11.816,0.0
17.039,0.534,2.009,0.354,2.297,0.365,5.025,13.378,0.0
16.463,0.54,2.076,0.357,2.285,0.368,5.086,12.369,0.0
17.332,0.546,2.01,0.336,2.29,0.364,4.999,13.043,0.0
16.875,0.539,2.036,0.354,2.282,0.371,5.043,12.027,0.0
17.081,0.539,2.022,0.362,2.343,0.365,5.092,13.185,0.0
15.993,0.54,2.006,0.34,2.374,0.372,5.091,12.21,0.0
16.525,0.545,1.934,0.329,2.355,0.369,4.986,12.034,0.0
15.956,0.541,1.97,0.339,2.318,0.366,4.992,12.317,0.0
17.025,0.543,2.048,0.357,2.273,0.367,5.044,14.135,0.0
16.103,0.545,1.99,0.362,2.321,0.359,5.032,12.148,0.0
16.506,0.544,1.968,0.357,2.336,0.373,5.034,12.097,0.0
16.438,0.552,2.025,0.35,2.275,0.367,5.018,140.921,0.0
16.706,0.55,2.003,0.35,2.272,0.365,4.99,76.75,0.0
16.681,0.554,2.004,0.354,2.239,0.36,4.957,70.425,0.0
16.801,0.553,1.973,0.348,2.192,0.355,4.868,65.058,0.0
16.67,0.551,2.038,0.35,2.275,0.365,5.028,139.046,0.0
16.808,0.556,1.993,0.349,2.208,0.361,4.911,77.239,0.0
16.55,0.553,1.964,0.353,2.246,0.36,4.923,65.495,0.0
16.891,0.55,1.985,0.346,2.252,0.362,4.946,67.953,0.0
16.128,0.54,1.995,0.353,2.347,0.368,5.065,107.73,0.0
16.454,0.54,2.049,0.351,2.356,0.373,5.128,52.584,0.0
16.135,0.537,1.995,0.346,2.346,0.366,5.053,45.012,0.0
16.561,0.537,1.978,0.351,2.32,0.37,5.019,39.953,0.0
16.622,0.539,1.993,0.35,2.292,0.367,5.002,40.541,0.0
16.904,0.548,2.072,0.351,2.305,0.368,5.096,43.019,0.0
16.702,0.543,1.994,0.356,2.291,0.368,5.009,38.967,0.0
16.472,0.543,2.05,0.354,2.305,0.364,5.073,37.194,0.0
16.77,0.545,2.007,0.34,2.298,0.367,5.013,38.854,0.0
17.225,0.541,1.975,0.345,2.289,0.371,4.98,37.586,0.0
17.137,0.539,1.998,0.351,2.291,0.37,5.009,37.661,0.0
17.206,0.541,1.911,0.344,2.282,0.363,4.901,37.294,0.0
16.971,0.541,1.99,0.339,2.296,0.372,4.997,35.874,0.0
16.544,0.543,1.978,0.35,2.303,0.373,5.004,39.24,0.0
16.611,0.543,1.978,0.342,2.27,0.365,4.955,36.231,0.0
